BSUPUSS28,,176,28 tons,,http://www.materialtree.com/slag-sand-28-tons,Generic,Slag Sand-28 Tons,,, Thickness   N/A  Brand / Manufacturer   Generic  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Granules  Color   Grey ', Per Ton,,,BuildSupplies',2000 ,Slag Sand is best suited for all construction purposes and plastering or wall work.'
BSUPGGCPCA12,,186,coarse aggregates,,http://www.materialtree.com/12-mm-ggcp-coarse-aggregates,GG Products,12 mm. GGCP Coarse Aggregates,,, Thickness   12 mm  Brand / Manufacturer   GG Products  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Grey ', Per Ton,,,BuildSupplies',650 ,12 mm. GGCP Coarse Aggregates'
BSUPSBSCCA20,,190,coarse aggregates,,http://www.materialtree.com/20-mm-sbsc-coarse-aggregates,SBSC,20 mm. SBSC Coarse Aggregates ,,, Thickness   20 mm  Brand / Manufacturer   SBSC  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Grey ', Per Ton,,,BuildSupplies',650 ,20 mm. SBSC Coarse Aggregates'
BSUPSBSCCA12,,189,coarse aggregates,,http://www.materialtree.com/12-mm-sbsc-coarse-aggregates,SBSC,12 mm. SBSC Coarse Aggregates,,, Thickness   12 mm  Brand / Manufacturer   SBSC  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Ivory ', Per Ton,,,BuildSupplies',650 ,12 mm. SBSC Coarse Aggregates'
BSUPJASBMCA20,,193,coarse aggregates,,http://www.materialtree.com/20-mm-jasbm-coarse-aggregates,JASBM,20 mm. JASBM Coarse Aggregates ,,, Thickness   20 mm  Brand / Manufacturer   JASBM  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Grey ', Per Ton,,,BuildSupplies',650 ,20 mm. JASBM Coarse Aggregates'
BSUPJASBMCA12,,192,coarse aggregates,,http://www.materialtree.com/12-mm-jasbm-coarse-aggregates,JASBM,12 mm. JASBM Coarse Aggregates,,, Thickness   12 mm  Brand / Manufacturer   JASBM  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Ivory ', Per Ton,,,BuildSupplies',650 ,12 mm. JASBM Coarse Aggregates'
BSUPSBSCCA40,,191,coarse aggregates,,http://www.materialtree.com/40-mm-sbsc-coarse-aggregates,SBSC,40 mm. SBSC Coarse Aggregates ,,, Thickness   40 mm  Brand / Manufacturer   SBSC  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Grey ', Per Ton,,,BuildSupplies',650 ,40 mm. SBSC Coarse Aggregates'
BSUPJASBMCA40,,194,coarse aggregates,,http://www.materialtree.com/40-mm-jasbm-coarse-aggregates,JASBM,40 mm. JASBM Coarse Aggregates ,,, Thickness   40 mm  Brand / Manufacturer   JASBM  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Grey ', Per Ton,,,BuildSupplies',650 ,40 mm. JASBM Coarse Aggregates'
BSUPESPEECA40,,197,coarse aggregates,,http://www.materialtree.com/40-mm-espee-coarse-aggregates,Espee,40 mm. Espee Coarse Aggregates ,,, Thickness   40 mm  Brand / Manufacturer   Espee  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Grey ', Per Ton,,,BuildSupplies',650 ,40 mm. Espee Coarse Aggregates'
BSUPESPEECA20,,196,coarse aggregates,,http://www.materialtree.com/20-mm-espee-coarse-aggregates,Espee,20 mm. Espee Coarse Aggregates ,,, Thickness   20 mm  Brand / Manufacturer   Espee  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Grey ', Per Ton,,,BuildSupplies',650 ,20 mm. Espee Coarse Aggregates'
BSUPESPEECA12,,195,coarse aggregates,,http://www.materialtree.com/12-mm-espee-coarse-aggregates,Espee,12 mm. Espee Coarse Aggregates,,, Thickness   12 mm  Brand / Manufacturer   Espee  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Ivory ', Per Ton,,,BuildSupplies',650 ,12 mm. Espee Coarse Aggregates'
BSUPSVB3,,208,svb bricks,,http://www.materialtree.com/svb-bricks,SVB,SVB Bricks,,, Thickness   No  Brand / Manufacturer   SVB  Unit   Brick  Standard Code   IS 1077 (1992)  Color   Grey  Shape   No  Minimum Order Quantity   400 Blocks  Size   No  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Brick,,,BuildSupplies',7 ,SVB Bricks'
BSUPOMBCWC3,,4560,cut bricks,,http://www.materialtree.com/3-in-omb-clay-wire-cut-bricks,Generic,3 In.OMB Clay Wire Cut Bricks,,, Thickness   3 Inches.  Brand / Manufacturer   Generic  Unit   Brick  Standard Code   IS 2212 (1991)  Color   Red  Shape   No  Minimum Order Quantity   4000 Bricks  Size   No  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Brick,,,BuildSupplies',7 ,"""OMB Clay Wire Cut Bricks 3 Inches (230 x 100 x 75 mm). Wire cut bricks have a strength compared to ordinary bricks.The wirecut bricks are the bricks manufacture in factory other than in yards like the normal bricks. The face finishing is much superior than the normal bricks. For the same reason, this bricks is used for exposed masonry.\r\nThe wirecut bricks are the bricks manufacture in factory other than in yards like the normal bricks. The face finishing is much superior than the normal bricks. For the same reason, this bricks is used for exposed masonry.\r\n""'"
BSUPVPESCA20,,210,coarse aggregates,,http://www.materialtree.com/20-mm-vpes-coarse-aggregates,VPES,20 mm. VPES Coarse Aggregates ,,, Thickness   20 mm  Brand / Manufacturer   VPES  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Grey ', Per Ton,,,BuildSupplies',650 ,20 mm. VPES Coarse Aggregates'
BSUPVPESCA12,,209,500 25mm,,http://www.materialtree.com/vizag-tmt-bars-500-25mm,VPES,12 mm. VPES Coarse Aggregates,,, Thickness   12 mm  Brand / Manufacturer   VPES  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Grey ', Per Ton,,,BuildSupplies',650 ,12 mm. VPES Coarse Aggregates'
BSUPTBCCWCB3,,141,cut bricks,,http://www.materialtree.com/3-in-tbc-clay-wire-cut-bricks,TBC,3 In.TBC Clay Wire Cut Bricks,,, Thickness   3 Inches  Brand / Manufacturer   TBC  Unit   Brick  Standard Code   IS 2212 (1991)  Color   Red  Shape   N/A  Minimum Order Quantity   4000 Bricks  Size   3 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Brick,,,BuildSupplies',7.75 ,"TBC Clay Wire Cut Bricks 3 Inches (230 x 100 x 75 mm).      Wire cut bricks have a strength compared to ordinary bricks.The wirecut bricks are the bricks manufacture in factory other than in yards like the normal bricks. The face finishing is much superior than the normal bricks. For the same reason, this bricks is used for exposed masonry.\r\nThe wirecut bricks are the bricks manufacture in factory other than in yards like the normal bricks. The face finishing is much superior than the normal bricks. For the same reason, this bricks is used for exposed masonry.'"
BSUPVPESCA40,,211,coarse aggregates,,http://www.materialtree.com/40-mm-vpes-coarse-aggregates,VPES,40 mm. VPES Coarse Aggregates ,,, Thickness   40 mm  Brand / Manufacturer   VPES  Standard Code   IS 383 (1970)  Unit   Ton  Shape   Cubical  Color   Grey ', Per Ton,,,BuildSupplies',650 ,40 mm. VPES Coarse Aggregates'
BSUPCTBCTMB3,,140,mould bricks,,http://www.materialtree.com/3-in-tbc-clay-table-mould-bricks,TBC,3 In.TBC Clay Table Mould Bricks,,, Thickness   3 Inches  Brand / Manufacturer   TBC  Unit   Brick  Standard Code   IS 1077 (1992)  Color   Red  Shape   N/A  Minimum Order Quantity   4000 Bricks  Size   3 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Brick,,,BuildSupplies',7.75 ,"Table Moulding \r\n\r\nThe process of moulding operations is carried out on a specially designed moulding table. The clay, mould, water pots, stock board etc are placed on this table. The bricks are moulded similar to thr ground moulding on the table. The cost of brick moulding increses when the table moulding is adopted.\r\n\r\n\r\n\r\nBased on method employed in production, three varieties of burnt clay bricks are available in India viz.\r\n\r\n\xe2\xac \xa2 Country brick\r\n\r\n\xe2\xac \xa2 Table moulded brick\r\n\r\n\xe2\xac \xa2 Wire-cut brick.\r\n\r\n\r\n\r\nProperties of burnt clay bricks\r\n\r\n1. Compressive strength\r\n\r\n2. Water absorption\r\n\r\n3. Initial rate of absorption (IRA)\r\n\r\n4. Porosity and pore size\r\n\r\n5. Stress-strain characteristics.'"
BSUPFSBSUN3,,139,solid bricks,,http://www.materialtree.com/3-in-sunvik-flyash-solid-bricks,Sunvik,3 In. Sunvik Flyash Solid Bricks,,, Thickness   3 Inches  Brand / Manufacturer   Sunvik  Unit   Brick  Standard Code   IS 1077 (1992)  Color   No  Shape   N/A  Minimum Order Quantity   6000 Bricks  Size   3 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Brick,,,BuildSupplies',7 ,Sunvik 3 In. flyash eco friendly bricks has an average of  7 newtons per square mm.'
BSUPBCAPAMTB4,,3252,automated manufacturing,,http://www.materialtree.com/4-in-bcap-solid-blocks-automated-manufacturing,BCAP,4 In. BCAP Solid Blocks (Automated Manufacturing),,, Thickness   4 Inches  Brand / Manufacturer   BCAP  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   No  Minimum Order Quantity   800 Blocks  Size   No  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',30 ,4 In. BCAP Solid Blocks (Automated Manufacturing)'
BSUPFSBSUN4,,145,solid blocks,,http://www.materialtree.com/4-in-sunvik-flyash-solid-blocks,Sunvik,4 In. Sunvik Flyash Solid Blocks,,, Thickness   4 Inches  Brand / Manufacturer   Sunvik  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   1500 Blocks  Size   4 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',30 ,Sunvik 4 In. flyash eco friendly bricks has an average of  7 newtons per square mm.'
BSUPGCSB4,,155,solid blocks,,http://www.materialtree.com/4-in-ganesh-concrete-solid-blocks,Ganesh,4 In. Ganesh Concrete Solid Blocks,,, Thickness   4 Inches  Brand / Manufacturer   Ganesh  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   700 Blocks  Size   4 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',28 ,4 In. Ganesh Concrete Solid Blocks'
BSUPVBCSB4,,156,solid blocks,,http://www.materialtree.com/4-in-vb-concrete-solid-blocks,VB,4 In. VB Concrete Solid Blocks,,, Thickness   4 Inches  Brand / Manufacturer   VB  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   700 Blocks  Size   4 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',28 ,4 In. VB Concrete Solid Blocks'
BSUPCSBRAMCO6,,148,solid blocks,,http://www.materialtree.com/6-in-ram-co-concrete-solid-blocks,Ram Co,6 In.Ram Co Concrete Solid Blocks,,, Thickness   6 Inches  Brand / Manufacturer   Ram Co  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   500 Blocks  Size   6 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',32 ,Ram Co Concrete Solid Blocks 6 In.'
BSUPPRAGATHIAMTB4,,3249,solid blocks,,http://www.materialtree.com/4-in-pragathi-auomated-concrete-solid-blocks,Pragathi,4 In. Pragathi Auomated Concrete Solid Blocks,,, Thickness   4 Inches  Brand / Manufacturer   Pragathi  Unit   Block  Standard Code   IS 2185  Color   N/A  Shape   N/A  Minimum Order Quantity   800 Blocks  Size   N/A  Delivery Time (Days)   N/A  Shipping   No ', Per Block,,,BuildSupplies',30 ,4 In. Pragathi Auomated Concrete Solid Blocks'
BSUPCSBSAMBICA4,,144,solid blocks,,http://www.materialtree.com/4-in-sab-concrete-solid-blocks,SAB,4 In. SAB Concrete Solid Blocks,,, Thickness   4 Inches  Brand / Manufacturer   SAB  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   750 Blocks  Size   4 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',28 ,4 In. SAB Concrete Solid Blocks'
BSUPCSBRAMCO4,,143,solid blocks,,http://www.materialtree.com/4-in-ram-co-concrete-solid-blocks,Ram Co,4 In.Ram Co Concrete Solid Blocks,,, Thickness   4 Inches  Brand / Manufacturer   Ram Co  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   700 Blocks  Size   4 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',27 ,"Ram Co Concrete Solid Blocks 4 In. Concrete can be converted into precast masonry units of suitable size to be used for walling. The blocks can be cast to desired shape and size to facilitate construction of wall of requisite thickness and appearance.A thickness as low as 15cm is feasible for a load bearing wall and 10 cm for a non-load bearing wall, adopting solid\r\nconcrete blocks. They are also suitable for, filling, weatherboarding or other forms of surface cladding. Due to its high density, higher strengths can be achieved and excellent properties are offered for sound insulation, and fixing. This does not impose any structural problems within the masonry units, as the strength of block is fairly consistent in all directions.'"
BSUPPRAGATHIB4,,3246,solid blocks,,http://www.materialtree.com/4-in-pragathi-concrete-solid-blocks,Pragathi,4 In. Pragathi Concrete Solid Blocks,,, Thickness   4 Inches  Brand / Manufacturer   Pragathi  Unit   Block  Standard Code   IS 2185  Color   N/A  Shape   N/A  Minimum Order Quantity   800 Blocks  Size   N/A  Delivery Time (Days)   N/A  Shipping   No ', Per Block,,,BuildSupplies',27.5 ,4 In. Pragathi Concrete Solid Blocks'
BSUPAPCOB4,,3186,solid blocks,,http://www.materialtree.com/4-in-apco-concrete-solid-blocks,APCO,4 In. APCO Concrete Solid Blocks,,, Thickness   4 Inches  Brand / Manufacturer   APCO  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   800 Blocks  Size   4 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',37 ,4 In. APCO Concrete Solid Blocks'
BSUPCSBSAMBICA6,,149,solid blocks,,http://www.materialtree.com/6-in-sab-concrete-solid-blocks,SAB,6 In. SAB Concrete Solid Blocks,,, Thickness   6 Inches  Brand / Manufacturer   SAB  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   500 Blocks  Size   6 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',36.5 ,6 In. SAB Concrete Solid Blocks'
BSUPGCSB6,,160,solid blocks,,http://www.materialtree.com/6-in-ganesh-concrete-solid-blocks,Ganesh,6 In. Ganesh Concrete Solid Blocks,,, Thickness   6 Inches  Brand / Manufacturer   Ganesh  Unit   Block  Standard Code   IS 2185  Color   Grey  Shape   N/A  Minimum Order Quantity   500 Blocks  Size   6 In.  Delivery Time (Days)   1-3 Days  Shipping   No ', Per Block,,,BuildSupplies',36.5 ,6 In. Ganesh Concrete Solid Blocks'
